Breed.Main,Country,Origin,Size,Coat,Pattern,Image
Abyssinian,Ethiopia,Natural/Standard,NA,shorthair,Ticked,NA
Aegean,Greece,Natural/Standard,NA,medium,Bi- or tri-colored,NA
American Curl,United States,Mutation,NA,shorthair,All,NA
American Bobtail,United States,Mutation,NA,shorthair,All,NA
American Shorthair,United States,Natural,NA,shorthair,All but colorpoint,NA
American Wirehair,United States,Mutation,NA,shorthair,All but colorpoint,NA
Arabian Mau,Arabian Peninsula,Natural,NA,shorthair,NA,NA
Australian Mist,Australia,Crossbreed,Moderate,shorthair,Spotted and Classic tabby,NA
Asian,developed in the,NA,NA,shorthair,Evenly solid,NA
Asian Semi-longhair,United Kingdom,Crossbreed,NA,medium,Solid,NA
Balinese,developed in the,Crossbreed,Oriental,longhair,Colorpoint,NA
Bambino,United States,Crossbreed,NA,hairless,NA,NA
Bengal,developed in the,Hybrid,NA,shorthair,Spotted/Marbled,NA
Birman,Burma,Natural,NA,medium,Colourpoint,NA
Bombay,developed in the,Crossbred,Moderate,shorthair,Solid,NA
Brazilian Shorthair,Brazil,Natural,NA,shorthair,All,NA
British Semi-longhair,United Kingdom,NA,Cobby,medium,All,NA
British Shorthair,United Kingdom,Natural,Cobby,shorthair,All,NA
British Longhair,United Kingdom,NA,Cobby,longhair,NA,NA
Burmese,Burma and Thailand,Natural,NA,shorthair,Solid,NA
Burmilla,United Kingdom,Crossbreed,NA,shorthair,NA,NA
California Spangled,United States,Crossbreed,NA,shorthair,Spotted,NA
Chantilly-Tiffany,United States,NA,NA,NA,NA,NA
Chartreux,France,Natural,Cobby,shorthair,Solid,NA
Chausie,France,Hybrid,NA,shorthair,Ticked,NA
Cheetoh,United States,Hybrid Crossbreed,NA,shorthair,Spotted,NA
Colorpoint Shorthair,NA,NA,NA,shorthair,NA,NA
Cornish Rex,United Kingdom (England),Mutation,NA,shorthair,All,NA
Cymric,United Kingdom (Isle of Man),Natural/Mutation,NA,longhair,NA,NA
or Manx Longhair,NA,NA,NA,NA,NA,NA
