Breed,Size,Breed.Main
Affenpinscher,Small,Affenpinscher
Afghan Hound,Large,Afghan Hound
Ainu Dog,Large,Ainu Dog
Akbash Dog,Extra Large,Akbash Dog
Akita,Extra Large,Akita
Alaskan Malamute,Large,Alaskan Malamute
Alpine Dachsbracke,Medium,Alpine Dachsbracke
American Blue Gascon Hound,Extra Large,American Blue Gascon Hound
American Eskimo,Medium,American Eskimo
Anatolian Shepherd Dog,Extra Large,Anatolian Shepherd Dog
Anglos - Francaises,Large,Francaises Anglos
Appenzeller,Large,Appenzeller
Ariegeois,Large,Ariegeois
Armant,Large,Armant
Australian Kelpie,Medium,Australian Kelpie
Austrian Brandlbracke,Medium,Austrian Brandlbracke
Azawakh,Large,Azawakh
Barbet,Large,Barbet
Basenji,Small,Basenji
Bassett Hound,Large,Bassett Hound
Beagle,Medium,Beagle
Beagle Harrier,Medium,Beagle Harrier
Beagle Miniature,Small,Beagle Miniature
Beagle Pocket,Small,Beagle Pocket
Beauceron,Extra Large,Beauceron
Belgian Malinois,Large,Belgian Malinois
Bergamasco,Large,Bergamasco
Berger de Beauce,Large,Berger de Beauce
Bichon Frise,Small,Bichon Frise
Bloodhound,Extra Large,Bloodhound
Blue Lacy,Medium,Blue Lacy
Bolognese,Small,Bolognese
Borzoi,Extra Large,Borzoi
Bouvier de Ardennes,Large,Bouvier de Ardennes
Boxer,Large,Boxer
Bulldog - American,Large,American Bulldog
Bulldog - English,Large,English Bulldog
Bulldog - English miniature,Small,English miniature Bulldog
Bulldog - French,Medium,French Bulldog
Bulldog - Great Britain,Large,Great Britain Bulldog
Canaan Dog,Large,Canaan Dog
Canary Dog,Extra Large,Canary Dog
Catahoula Leopard Dog,Medium,Catahoula Leopard Dog
Cattle dog - Austrailian,Medium,Cattle dog
Cattle dog - Belgian,Large,Cattle dog
Cavachon,Small,Cavachon
Chihuahua,Small,Chihuahua
Chinese Crested,Small,Chinese Crested
Chinook,Large,Chinook
Chow Chow,Large,Chow Chow
Cockapoo,Small,Cockapoo
Collie,Large,Collie
Collie - Bearded,Large,Bearded Collie
Collie - Border,Medium,Border Collie
Coonhound - American,Large,American Coonhound
Coonhound - Black and Tan,Large,Black and Tan Coonhound
Coonhound - Bluetick,Large,Bluetick Coonhound
Coonhound - English,Large,English Coonhound
Coonhound - Redbone,Medium,Redbone Coonhound
Coton de Tulear,Small,Coton de Tulear
Dachshund - Longhaired,Small,Longhaired Dachshund
Dachshund - Miniature,Small,Miniature Dachshund
Dachshund - Standard,Small,Standard Dachshund
Dachshund - Wirehaired,Small,Wirehaired Dachshund
Dalmation,Large,Dalmation
Dingo,Medium,Dingo
Eskimo Dog - Canada,Large,Eskimo Dog
Eurasian,Large,Eurasian
Foxhound - American,Medium,American Foxhound
Foxhound - English,Large,English Foxhound
German Wolfspitz,Small,German Wolfspitz
Great Dane,Extra Large,Great Dane
Great Pyrenees,Extra Large,Great Pyrenees
Greyhound,Large,Greyhound
Greyhound - Hungarian,Large,Hungarian Greyhound
Greyhound - Italian,Small,Italian Greyhound
Greyhound - Sicilian,Medium,Sicilian Greyhound
Griffon - Belgian,Small,Belgian Griffon
Griffon - Brittany,Medium,Brittany Griffon
Griffon - Brussels,Small,Brussels Griffon
Griffon - Nivernais,Large,Nivernais Griffon
Griffon - Wirehaired Pointing,Large,Wirehaired Pointing Griffon
Havenese,Small,Havenese
Hound - Black Forest,Medium,Black Forest Hound
Hound - East Russian,Medium,East Russian Hound
Hound - Ibizan,Large,Ibizan Hound
Hound - Latvian,Medium,Latvian Hound
Hound - Norwegian,Medium,Norwegian Hound
Hound - Otter,Extra Large,Otter Hound
Hound - Pharaoh,Medium,Pharaoh Hound
Hound - Plott,Large,Plott Hound
Japanese Chin,Small,Japanese Chin
Keeshond,Large,Keeshond
Komondor,Extra Large,Komondor
Kuvasz,Extra Large,Kuvasz
Kyi Leo,Small,Kyi Leo
Labradoodle,Large,Labradoodle
Lhasa Apso,Small,Lhasa Apso
Lhasa Poo,Small,Lhasa Poo
Maltese,Small,Maltese
Mastiff - Argentinian,Large,Argentinian Mastiff
Mastiff - Belgian,Extra Large,Belgian Mastiff
Mastiff - Brasilian,Extra Large,Brasilian Mastiff
Mastiff - Bull,Extra Large,Bull Mastiff
Mastiff - English,Extra Large,English Mastiff
Mastiff - French,Extra Large,French Mastiff
Mastiff - Italian Cane Corso,Extra Large,Italian Cane Corso Mastiff
Mastiff - Neapolitan,Extra Large,Neapolitan Mastiff
Mastiff - Pyrenean,Extra Large,Pyrenean Mastiff
Mastiff - Spanish,Extra Large,Spanish Mastiff
Mastiff - Tibetan,Extra Large,Tibetan Mastiff
Mountain dog - Bavarian,Large,Mountain dog
Mountain dog - Bernese,Extra Large,Mountain dog
Mountain dog - Polish,Extra Large,Mountain dog
Mountain dog - Portuguese,Extra Large,Mountain dog
Newfoundland,Extra Large,Newfoundland
Norwegian Elkhound,Large,Norwegian Elkhound
Old Danish Bird Dog,Large,Old Danish Bird Dog
Papillon,Small,Papillon
Peekapoo,Small,Peekapoo
Pekingnese,Small,Pekingnese
Pinscher - Austrian Shorthaired,Medium,Austrian Shorthaired Pinscher
Pinscher - Doberman (Europeon),Large,Doberman  Pinscher
Pinscher - Doberman (German),Large,Doberman  Pinscher
Pinscher - German,Medium,German Pinscher
Pinscher - Harlequin,Medium,Harlequin Pinscher
Pinscher - Miniature,Small,Miniature Pinscher
Pointer - Belgian Shorthaired,Large,Belgian Shorthaired Pointer
Pointer - English,Large,English Pointer
Pointer - German Longhaired,Large,German Longhaired Pointer
Pointer - German Shorthaired,Large,German Shorthaired Pointer
Pointer - German Wirehaired,Large,German Wirehaired Pointer
Pointer - Italian,Large,Italian Pointer
Pomeranian,Small,Pomeranian
Poodle - Miniature,Small,Miniature Poodle
Poodle - Standard,Large,Standard Poodle
Poodle - Toy,Small,Toy Poodle
Portugese Water Dog,Large,Portugese Water Dog
Portuguese Cattle Dog,Large,Portuguese Cattle Dog
Pug,Small,Pug
Puli,Medium,Puli
Retriever - Chesapeake Bay,Large,Chesapeake Bay Retriever
Retriever - Curly-Coated,Large,Curly Retriever
Retriever - Flat-Coated,Large,Flat Retriever
Retriever - Golden,Large,Golden Retriever
Retriever - Golden Doodle,Large,Golden Doodle Retriever
Retriever - Labrador,Large,Labrador Retriever
Rhodesian Ridgeback,Large,Rhodesian Ridgeback
Rottweiler,Extra Large,Rottweiler
Saint Bernard,Extra Large,Saint Bernard
Saluki,Large,Saluki
Samoyed,Large,Samoyed
Schipperke,Small,Schipperke
Schnauzer - Giant,Large,Giant Schnauzer
Schnauzer - Miniature,Small,Miniature Schnauzer
Schnauzer - Standard,Medium,Standard Schnauzer
Schnoodle,Small,Schnoodle
Scottish Deerhound,Extra Large,Scottish Deerhound
Setter - English,Large,English Setter
Setter - Gordon,Large,Gordon Setter
Setter - Irish,Large,Irish Setter
Shar Pei,Large,Shar Pei
Sheepdog - Belgian,Large,Belgian Sheepdog
Sheepdog - Catalan,Medium,Catalan Sheepdog
Sheepdog - Croatian,Medium,Croatian Sheepdog
Sheepdog - Iceland,Medium,Iceland Sheepdog
